Player,Pos,3P%,2P%,FT%,TRB,AST,STL,BLK
Spencer Hawes,PF,0.373,0.422,0.831,4.3,1.9,0.4,0.5
Chuck Hayes,C,0,0.5,1,4,1,0,0
Gordon Hayward,SF,0.349,0.477,0.824,5,3.7,1.2,0.3
Gerald Henderson,SG,0.353,0.468,0.767,2.9,1,0.5,0.3
John Henson,C,0,0.566,0.59,3.9,0.9,0.3,1.9
Mario Hezonja,SF,0.349,0.504,0.907,2.2,1.4,0.5,0.2
Roy Hibbert,C,0,0.445,0.807,4.9,1.2,0.4,1.4
J.J. Hickson,C,0,0.519,0.447,3.8,0.7,0.4,0.4
Nene Hilario,PF,0,0.549,0.578,4.5,1.7,0.9,0.5
George Hill,PG,0.408,0.466,0.76,4,3.5,1.1,0.2
Jordan Hill,C,0,0.507,0.712,6.2,1.2,0.5,0.5
Solomon Hill,SF,0.324,0.515,0.857,2.8,1,0.6,0.2
Darrun Hilliard,SG,0.38,0.407,0.725,1.2,0.7,0.2,0
Kirk Hinrich,PG,0.387,0.373,0.938,1.5,1.6,0.3,0
Jrue Holiday,PG,0.336,0.478,0.843,3,6,1.4,0.3
Justin Holiday,SG,0.343,0.423,0.73,1.7,1.1,0.6,0.4
Ryan Hollins,C,0,0.62,0.619,2.6,0.3,0.2,0.6
Rondae Hollis-Jefferson,SF,0.286,0.476,0.712,5.3,1.5,1.3,0.6
Richaun Holmes,PF,0.182,0.596,0.689,2.6,0.6,0.4,0.8
Rodney Hood,SG,0.359,0.472,0.86,3.4,2.7,0.9,0.2
Al Horford,C,0.344,0.557,0.798,7.3,3.2,0.8,1.5
Dwight Howard,C,0,0.626,0.489,11.8,1.4,1,1.6
Marcelo Huertas,PG,0.262,0.479,0.931,1.7,3.4,0.5,0.1
Josh Huestis,PF,0.667,0.167,0,2,0,0.2,0.4
Kris Humphries,PF,0.315,0.465,0.798,4.1,0.7,0.3,0.4
R.J. Hunter,SG,0.302,0.486,0.857,1,0.4,0.4,0.1
Serge Ibaka,PF,0.326,0.52,0.752,6.8,0.8,0.5,1.9
Andre Iguodala,SF,0.351,0.57,0.614,4,3.4,1.1,0.3
Ersan Ilyasova,PF,0.371,0.458,0.721,5.4,0.9,0.7,0.4
Joe Ingles,SF,0.386,0.531,0.722,1.9,1.2,0.7,0
Damien Inglis,SF,0.231,0.417,0.875,1.6,0.5,0.3,0.2
Kyrie Irving,PG,0.321,0.502,0.885,3,4.7,1.1,0.3
